,Mean Temp,date
407,-0.7,13-03-2021
408,-1.3,14-03-2021
409,-5,15-03-2021
410,0.8,16-03-2021
411,5.1,17-03-2021
412,2.3,18-03-2021
413,-0.8,19-03-2021
414,6.3,20-03-2021
415,6.5,21-03-2021
416,7.6,22-03-2021
417,8.2,23-03-2021
418,12.1,24-03-2021
419,14.5,25-03-2021
420,6.9,26-03-2021
421,5.8,27-03-2021
422,6.2,28-03-2021
423,3.2,29-03-2021
424,10.4,30-03-2021
425,7.4,31-03-2021
426,-0.2,01-04-2021
427,0.3,02-04-2021
428,2.2,03-04-2021
429,6.8,04-04-2021
430,7.8,05-04-2021
431,8,06-04-2021
432,11.1,07-04-2021
433,14.6,08-04-2021
434,15.6,09-04-2021
435,15.4,10-04-2021
436,13.5,11-04-2021
437,9.2,12-04-2021
438,10.2,13-04-2021
439,10.3,14-04-2021
440,6.3,15-04-2021
441,7.4,16-04-2021
442,7.6,17-04-2021
443,9,18-04-2021
444,9.4,19-04-2021
445,2.1,20-04-2021
446,1.1,21-04-2021
