OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,TotalVaccinated,DailyVaccinated
2030,ALBERTA,AB,18,2020/05/31 12:00:00+00,7010,6283,38,143,0,260365,3138,584,-20,52,-1,6,1,,
2045,ALBERTA,AB,34,2020/06/01 12:00:00+00,7044,6501,218,143,0,263074,2709,400,-184,53,1,6,0,,
2060,ALBERTA,AB,13,2020/06/02 12:00:00+00,7057,6537,36,143,0,266301,3227,377,-23,51,-2,6,0,,
2075,ALBERTA,AB,19,2020/06/03 12:00:00+00,7076,6587,50,145,2,271298,4997,344,-33,48,-3,6,0,,
2090,ALBERTA,AB,15,2020/06/04 12:00:00+00,7091,6611,24,146,1,275524,4226,334,-10,48,0,6,0,,
2105,ALBERTA,AB,7,2020/06/05 12:00:00+00,7098,6624,13,146,0,281979,6455,328,-6,44,-4,6,0,,
2120,ALBERTA,AB,40,2020/06/06 12:00:00+00,7138,6677,53,146,0,281979,0,315,-13,44,0,6,0,,
2135,ALBERTA,AB,0,2020/06/07 12:00:00+00,7138,6677,0,146,0,281979,0,315,0,44,0,6,0,,
2150,ALBERTA,AB,64,2020/06/08 12:00:00+00,7202,6698,21,149,3,281979,0,355,-40,44,0,6,0,,
2165,ALBERTA,AB,27,2020/06/09 12:00:00+00,7229,6722,24,151,2,303689,21710,356,1,46,2,6,0,,
2180,ALBERTA,AB,47,2020/06/10 12:00:00+00,7276,6754,32,151,0,310271,6582,371,15,42,-4,6,0,,
2195,ALBERTA,AB,40,2020/06/11 12:00:00+00,7316,6788,34,149,-2,317402,7131,379,8,45,3,6,0,,
2210,ALBERTA,AB,30,2020/06/12 12:00:00+00,7346,6811,23,149,0,325148,7746,386,7,53,8,6,0,,
2240,ALBERTA,AB,37,2020/06/13 12:00:00+00,7383,6830,19,150,1,331938,6790,403,17,44,-9,6,0,,
2255,ALBERTA,AB,50,2020/06/14 12:00:00+00,7433,6861,31,150,0,339849,7911,422,19,46,2,7,1,,
2270,ALBERTA,AB,20,2020/06/15 12:00:00+00,7453,6862,1,151,1,343311,3462,440,18,31,-15,7,0,,
2285,ALBERTA,AB,29,2020/06/16 12:00:00+00,7482,6882,20,151,0,349836,6525,449,9,36,5,7,0,,
2300,ALBERTA,AB,48,2020/06/17 12:00:00+00,7530,6893,11,151,0,356818,6982,486,37,38,2,7,0,,
2315,ALBERTA,AB,49,2020/06/18 12:00:00+00,7579,6938,45,152,1,364729,7911,489,3,34,-4,6,-1,,
2330,ALBERTA,AB,46,2020/06/19 12:00:00+00,7625,6961,23,152,0,373724,8995,512,23,39,5,6,0,,
2345,ALBERTA,AB,48,2020/06/20 12:00:00+00,7673,6996,35,152,0,381075,7351,525,13,39,0,6,0,,
