,Mean Temp,date
365,-9.4,30-01-2021
366,-4.1,31-01-2021
367,-0.4,02-01-2021
368,-10.9,03-01-2021
369,-16.2,04-01-2021
370,-11.4,05-01-2021
371,-14.2,06-01-2021
372,-22.2,07-01-2021
373,-27.2,08-01-2021
374,-27.9,09-01-2021
375,-28,10-01-2021
376,-29.2,11-01-2021
377,-29.5,12-01-2021
378,-23.8,13-01-2021
379,-23,14-01-2021
380,-24.8,15-01-2021
381,-20.2,16-01-2021
382,-13.9,17-01-2021
383,-10.1,18-01-2021
384,-10.6,19-01-2021
385,-1.7,20-01-2021
386,-2.3,21-01-2021
387,2.8,22-01-2021
388,3,23-01-2021
389,-2.6,24-01-2021
390,-5.2,25-01-2021
391,-0.4,26-01-2021
392,-6.7,27-01-2021
393,-10.9,28-01-2021
394,-0.9,29-01-2021
395,4.8,01-03-2021
396,-0.1,02-03-2021
397,2,03-03-2021
398,1.8,04-03-2021
399,4.6,05-03-2021
400,1,06-03-2021
401,0.6,07-03-2021
402,0.2,08-03-2021
403,-0.1,09-03-2021
404,-6.2,10-03-2021
405,-4.2,11-03-2021
406,5.4,12-03-2021
407,5.5,13-03-2021
408,8.3,14-03-2021
409,1.9,15-03-2021
410,1.1,16-03-2021
411,2.4,17-03-2021
412,5.6,18-03-2021
413,8,19-03-2021
414,4.4,20-03-2021
415,2.2,21-03-2021
416,2.5,22-03-2021
417,-0.5,23-03-2021
418,3.7,24-03-2021
419,-3.8,25-03-2021
420,-1.2,26-03-2021
421,5.2,27-03-2021
422,6.1,28-03-2021
423,-6.5,29-03-2021
424,-3.1,30-03-2021
425,4.1,31-03-2021
426,8.2,01-04-2021
427,3.7,02-04-2021
428,6.1,03-04-2021
429,0.8,04-04-2021
430,2.9,05-04-2021
431,6.8,06-04-2021
432,6.8,07-04-2021
433,2.3,08-04-2021
434,3.1,09-04-2021
435,1.1,10-04-2021
436,0.2,11-04-2021
437,-0.4,12-04-2021
438,-1.2,13-04-2021
439,3,14-04-2021
440,4.8,15-04-2021
441,6.6,16-04-2021
442,9.1,17-04-2021
443,2.9,18-04-2021
444,0.5,19-04-2021
445,2.2,20-04-2021
446,8.7,21-04-2021
