date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,quebec,quebec-us,DailyVaccinated,TotalVaccinated,Quebec Vaccine,Mean Temp
26-01-2021,256002,9577,12.45294054,9.16711967,0.004565056,0.005864505,32.355,60.09,56.635,1467,28889,216,219592,18431,194.3832595,1890.293043,10207,174260,13,-6.9
27-01-2021,257330,9630,12.45811459,9.172638505,0.005174051,0.005518835,40.29,73.62,71.92,1453,32845,216,221327,18253,187.349683,1816.929098,11950,186210,100,-4.1
28-01-2021,258698,9667,12.46341664,9.176473302,0.00530205,0.003834798,38.17,73.48,73.155,1426,35044,212,223367,17757,197.8896998,1446.3694,14417,200627,24,-10.8
29-01-2021,259993,9717,12.46840999,9.181632208,0.004993349,0.005158905,38.365,72.37,74.78,1383,43925,216,225245,17488,244.0859443,1871.719819,9625,210252,24,-15.2
30-01-2021,261360,9763,12.47365405,9.186355009,0.00524406,0.004722801,41.78,70.175,77.925,1327,33719,219,227215,16935,193.2080755,1798.532772,8503,218755,49,-15.8
31-01-2021,262583,9794,12.4783225,9.189525232,0.004668455,0.003170223,38.335,80.075,85.51,1321,27448,217,228887,16424,223.5366215,2119.327936,1960,220715,24,-16.9
01-02-2021,263473,9826,12.48170617,9.192787213,0.003383673,0.00326198,32.16,65.7,68.48,1324,19281,217,230803,15622,207.9065315,2126.48123,4164,224879,12,-12.7
02-02-2021,264526,9862,12.48569482,9.196444267,0.003988649,0.003657054,32.775,56.335,59.165,1290,28061,221,232221,15479,211.3915581,2016.64051,4340,229219,79,-4.6
03-02-2021,265579,9899,12.48966763,9.200189021,0.003972803,0.003744754,40.105,70.12,70.73,1264,36733,212,233768,15263,209.3919198,1809.810219,3767,232986,13,-0.6
04-02-2021,266672,9941,12.49377472,9.204422898,0.004107091,0.004233877,39,69.78,72.75,1217,38410,290,235516,14760,120.0691853,2232.376617,3071,236057,27,-3.8
05-02-2021,267773,9973,12.49789489,9.20763672,0.004120168,0.003213822,39.225,71.775,75.36,1163,32179,201,237088,14509,116.6253772,1985.229348,2086,238143,52,-3.1
06-02-2021,268977,9999,12.50238115,9.210240367,0.004486267,0.002603647,37.74,71.135,77.09,1136,35372,191,238648,14141,133.4007999,1852.113743,84,238227,26,-7.1
07-02-2021,270058,10031,12.50639203,9.213435577,0.004010877,0.00319521,39.435,77.445,86.36,1144,27279,183,240083,13564,151.1689165,1812.158896,796,239023,18,-7.2
08-02-2021,270911,10046,12.50954563,9.214929824,0.003153603,0.001494247,33.835,65.505,69.22,1110,33404,178,241537,13126,138.9600424,2181.017979,1807,240830,27,-11.2
09-02-2021,271737,10078,12.51258997,9.218110109,0.003044333,0.003180285,33.555,61.84,61.995,1106,25319,177,242692,12988,152.069539,1625.669474,716,241546,29,-10.3
10-02-2021,272726,10112,12.51622291,9.221478116,0.003632941,0.003368007,40.73,70.795,74.755,1070,35103,175,243769,12962,140.52782,1843.40321,2409,243955,0.0001,-10.6
11-02-2021,273847,10149,12.52032484,9.225130457,0.004101928,0.003652341,39.12,65.08,72.945,1040,33490,168,245339,12461,111.1643059,2046.476003,4718,248673,17,-12.1
12-02-2021,274831,10173,12.52391164,9.227492431,0.003586807,0.002361973,43.145,75.26,75.355,982,34152,159,246695,12283,131.4544467,1804.328534,5231,253904,27,-17.1
13-02-2021,275880,10201,12.52772127,9.230241034,0.003809625,0.002748603,41.675,79.35,82.495,963,36021,158,248112,11915,167.0181794,1899.704716,2646,256550,27,-17.3
14-02-2021,276790,10214,12.53101437,9.231514607,0.003293107,0.001273574,42.245,82.79,88.48,969,25200,160,249361,11504,130.4987558,1853.621595,2638,259188,36,-9.7
15-02-2021,277518,10229,12.53364107,9.232982102,0.0026267,0.001467495,37.48,71.835,73.53,940,18532,145,250652,11007,155.7555377,1710.924866,3406,262594,27,-8.1
16-02-2021,278187,10246,12.53604883,9.234642664,0.002407753,0.001660562,36.215,61.775,62.18,918,20419,148,251620,10994,119.0677898,1990.05191,3996,266590,10,-7.4
17-02-2021,278987,10258,12.53892046,9.235813168,0.002871636,0.001170503,46.605,76.32,79.315,874,32207,143,252651,11047,142.1885328,2151.778585,5742,272332,30,-12.7
18-02-2021,279887,10264,12.54214123,9.236397906,0.003220765,0.000584738,45.265,75.21,80.85,849,40521,137,254001,10657,121.3755467,1871.73153,8280,280612,18,-11.5
19-02-2021,280687,10278,12.54499545,9.237760968,0.002854219,0.001363061,44.66,78.03,82.335,812,33474,130,255146,10533,136.4248647,2270.109739,10341,290953,35,-8.6
20-02-2021,281456,10292,12.54773141,9.239122173,0.00273596,0.001361206,45.91,78.055,85.49,805,28399,132,256270,10306,111.0136135,1930.88685,2991,293944,27,-8
21-02-2021,282122,10307,12.55009488,9.240578555,0.002363472,0.001456382,45.385,83.345,95.35,804,22649,136,257434,9855,130.9707623,1806.637062,942,294886,27,-8.5
22-02-2021,282927,10318,12.55294419,9.241645222,0.002849312,0.001066667,42.695,85.835,84.135,771,16824,134,258542,9399,139.6655959,1770.924732,2808,297694,46,-3.9
23-02-2021,283666,10330,12.55555277,9.242807562,0.002608576,0.00116234,37.57,76.015,72.545,766,25293,130,259416,9313,145.4982226,1979.087766,1979,299673,39,0.9
24-02-2021,284472,10346,12.55839011,9.244355251,0.002837341,0.001547688,42.18,68.89,73.91,747,31558,129,260245,9378,110.5495624,2083.63776,2445,302118,10,1.5
25-02-2021,285330,10361,12.56140168,9.245804036,0.003011575,0.001448786,43.455,69.89,71.58,723,30126,127,261429,8980,117.2704996,1979.33178,9533,311651,17,-4.6
26-02-2021,286145,10372,12.56425395,9.246865147,0.00285227,0.00106111,47,75.775,85.97,700,33068,120,262506,8658,164.5559389,2215.542641,17673,329324,90,-8.7
27-02-2021,287003,10385,12.56724795,9.248117736,0.002993993,0.00125259,46.55,78.72,87.7,686,27518,119,263537,8278,164.4282567,1873.520035,15576,344900,71,-2.9
28-02-2021,287740,10393,12.56981257,9.248887782,0.002564626,0.000770045,49.45,88.565,96.815,689,22701,117,264497,8112,126.2750654,2152.243553,8994,353894,90,-0.2
01-03-2021,288353,10399,12.5719407,9.249464927,0.002128129,0.000577145,43.545,88.135,83.185,680,19081,120,265456,7880,121.4658807,2127.193226,12084,365978,100,-5.1
02-03-2021,288941,10407,12.57397779,9.250233936,0.002037091,0.000769009,41.025,77.415,73.27,655,22726,130,266138,7988,154.0268946,1668.771393,10932,376910,79,-12.8
03-03-2021,289670,10426,12.57649762,9.252057965,0.002519829,0.00182403,46.205,71.93,79.25,633,33813,122,266879,8090,137.4817254,1975.79144,10166,387076,50,-3.9
04-03-2021,290377,10445,12.57893536,9.253878674,0.002437735,0.001820709,45.94,77.94,81.455,620,33959,119,267885,7888,163.2300647,1628.429312,13464,400540,44,-6.4
