date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,ontario,ontario-us,DailyVaccinated,TotalVaccinated,Ontario Vaccine,Mean Temp
20-02-2021,291999,6848,12.58450566,8.831711918,0.004214362,0.004097167,32.325,74.185,87.01,705,48701,292,267128,12047,518.4193251,12671.42547,10679,467626,44,-6.6
21-02-2021,293086,6861,12.58822136,8.833608483,0.003715704,0.001896565,28.455,67.065,77.46,705,0,292,267128,12047,550.8505799,15420.20036,0,467626,36,-7
22-02-2021,294144,6872,12.59182472,8.835210464,0.003603362,0.001601981,25.89,71.51,71.36,742,57360,292,269413,11604,520.1993334,13284.92665,12751,480377,46,0.6
23-02-2021,295119,6884,12.59513394,8.836955157,0.003309221,0.001744694,26.015,50.68,51.92,719,33977,298,270869,10985,482.2623508,14774.97961,9107,489484,40,1.8
24-02-2021,296173,6893,12.59869902,8.838261683,0.003565078,0.001306526,35.815,70.75,69.795,758,56165,277,272146,10702,460.3063302,15280.47423,12383,501867,68,3.9
25-02-2021,297311,6916,12.60253401,8.841592847,0.003834986,0.003331164,37.38,77.565,84.72,689,65372,269,273401,10550,464.7251554,10726.3911,16967,518834,62,-1.4
26-02-2021,298569,6944,12.60675634,8.845633256,0.004222333,0.00404041,34.48,72,82.82,699,57194,263,274714,10437,560.1320131,9868.72674,21295,540129,80,-1.6
27-02-2021,299754,6960,12.61071742,8.847934753,0.003961076,0.002301497,36.995,80.585,92.815,660,48178,277,275854,10371,420.0902796,13682.15468,16404,556533,100,2.6
28-02-2021,300816,6980,12.61425406,8.850804196,0.003536644,0.002869442,33.995,81.385,85.82,646,31163,280,276937,10335,574.422714,13923.35485,12922,569455,67,2.4
01-03-2021,301839,6986,12.61764904,8.851663425,0.00339498,0.00085923,31.705,67.825,68.87,718,25979,283,277939,10296,582.4482358,13028.57458,16252,585707,76,-2.2
02-03-2021,302805,6997,12.62084431,8.853236765,0.003195271,0.001573339,38.24,71.21,75.74,675,54852,287,279230,10050,538.3183646,13300.4939,17141,602848,95,-6.7
03-03-2021,303763,7014,12.62400307,8.855663431,0.003158758,0.002426666,37.34,71.955,79.445,687,66351,283,280324,10071,444.9283064,12486.72261,19112,621960,56,2.2
04-03-2021,304757,7024,12.62727002,8.857088135,0.003266946,0.001424705,35.97,74.545,81.695,683,64049,284,281331,10294,665.5848747,13308.94013,21805,643765,32,-3.6
05-03-2021,306007,7046,12.63136326,8.860215359,0.00409324,0.003127224,37.77,80.515,85.785,680,59416,276,282315,10479,524.906462,12371.37622,24339,668104,26,-4.4
06-03-2021,306997,7052,12.63459325,8.861066544,0.003229998,0.000851185,39.51,89.68,99.02,627,49185,289,283344,10492,463.6838266,14702.57048,19167,687271,26,-4.7
07-03-2021,308296,7067,12.63881564,8.863191341,0.004222385,0.002124797,37.405,88.14,86.99,659,35015,280,284283,10570,599.3911329,13795.87126,17424,704695,24,-5.4
08-03-2021,309927,7077,12.64409206,8.864605368,0.005276425,0.001414027,34.73,74.195,71.945,677,30767,284,285262,10546,598.5126238,14396.89393,22326,727021,29,0.2
09-03-2021,311112,7083,12.64790825,8.865452826,0.00381619,0.000847458,38.99,74.05,80.215,668,52613,274,286352,10397,511.999106,15079.80369,27398,754419,26,4.2
10-03-2021,312428,7099,12.65212932,8.867709208,0.004221067,0.002256382,38.69,77.72,83.62,649,65643,281,287424,10309,469.7197114,12289.80075,30409,784828,25,6.5
11-03-2021,313520,7109,12.65561843,8.869116866,0.003489111,0.001407658,39.78,86.73,86.92,643,64748,280,288583,10378,482.7527877,14605.46281,35886,820714,37,12.4
12-03-2021,314891,7127,12.65998183,8.871645668,0.004363393,0.002528802,40.22,81.16,89.525,620,57829,278,289735,10210,503.2899976,12953.05083,39698,860412,35,3.3
13-03-2021,316359,7138,12.66463292,8.873187904,0.004651097,0.001542237,42.065,92.345,100.89,606,46586,273,290840,10389,524.8659054,10863.9012,30192,890604,45,-0.7
14-03-2021,318106,7153,12.67013994,8.875287128,0.005507016,0.002099224,37.995,89.155,93.81,626,38063,282,291834,11016,519.1584651,14647.35361,21882,912486,43,-1.3
15-03-2021,319374,7162,12.67411811,8.876544551,0.003978169,0.001257422,34.765,74.6,74.475,689,33264,290,292806,11223,602.0871139,11685.51805,31047,943533,38,-5
16-03-2021,320448,7173,12.6774753,8.878079256,0.003357187,0.001534706,40.73,75.695,82.185,678,54149,281,294018,11311,512.4412077,11306.22576,35264,978797,43,0.8
17-03-2021,321956,7187,12.68217017,8.880029117,0.004694874,0.001949861,41.895,87.345,86.505,680,60619,277,295128,11283,566.2269201,15026.2736,40610,1019407,34,5.1
18-03-2021,323509,7202,12.68698221,8.882114044,0.004812044,0.002084927,42.375,86.97,87.535,676,64611,282,296252,11512,641.0601732,13241.48643,43503,1062910,69,2.3
19-03-2021,325254,7212,12.69236169,8.883501584,0.005379481,0.00138754,42.58,86.42,88.61,689,58431,275,297403,11818,588.2530051,14591.35428,53586,1116496,40,-0.8
20-03-2021,327083,7223,12.69796924,8.885025658,0.005607546,0.001524074,42.375,86.97,87.535,601,47618,282,298570,12383,549.6702141,12205.14847,41859,1158355,37,6.3
21-03-2021,328874,7241,12.70342998,8.887514597,0.005460737,0.002488939,43.85,101.11,96.72,699,33975,298,299684,12528,539.0610301,13648.78534,33198,1191553,42,6.5
22-03-2021,330573,7244,12.70858279,8.887928819,0.005152814,0.000414222,35.955,71.35,73.68,761,28526,292,300769,12506,511.5335532,15284.36105,0,1191553,46,7.6
23-03-2021,332119,7253,12.71324862,8.889170455,0.004665826,0.001241636,40.81,76.325,83.25,741,49128,300,302257,12512,572.7961191,16090.5192,109781,1301334,46,8.2
24-03-2021,333690,7263,12.7179677,8.890548246,0.00471908,0.00137779,42.02,77.855,84.95,730,58560,304,303493,12814,576.0891579,14618.48994,58119,1359453,43,12.1
25-03-2021,336070,7280,12.72507475,8.892886141,0.007107053,0.002337896,41.725,88.14,88.51,759,56134,309,304789,13253,589.317521,12065.96297,61146,1420599,100,14.5
26-03-2021,338239,7292,12.73150803,8.894533136,0.006433275,0.001646995,41.87,81.62,90.885,765,52083,302,306050,13810,546.1986778,13374.10528,60283,1480882,54,6.9
27-03-2021,340692,7308,12.73873412,8.896724917,0.007226097,0.002191782,44.245,95.14,104.3,760,49233,305,307403,14230,615.4101754,14731.82111,40823,1521705,54,5.8
28-03-2021,343140,7327,12.74589381,8.899321434,0.007159684,0.002596517,44.73,116.055,99.585,813,31089,298,308578,14571,623.9151949,12777.60408,31335,1553040,34,6.2
29-03-2021,345234,7337,12.75197773,8.900685319,0.006083921,0.001363885,39.485,95.3,79.835,868,32556,324,309849,15017,550.6913985,13002.25662,50659,1603699,37,3.2
30-03-2021,347570,7351,12.75872136,8.902591637,0.006743636,0.001906319,44.325,98.665,89.195,893,51962,333,311380,15047,527.5243262,13317.99484,72451,1676150,34,10.4
31-03-2021,349903,7366,12.76541125,8.904630097,0.00668989,0.00203846,44.73,96.255,90.685,894,60077,332,312709,16081,485.3284088,15197.6934,79446,1755596,34,7.4
01-04-2021,352460,7389,12.77269242,8.907747687,0.007281167,0.00311759,41.53,83.82,90.18,913,53436,359,314384,16563,520.3493066,14334.26919,82996,1838592,63,-0.2
02-04-2021,352460,7389,12.77269242,8.907747687,0,0,44.285,100.915,96.895,985,61005,365,315865,17519,570.4520073,12561.33642,77740,1916332,47,0.3
03-04-2021,358558,7428,12.78984571,8.913011922,0.017153292,0.005264236,42.24,88.64,101.62,917,50227,366,317408,18405,538.1450549,14625.04205,64950,1981282,47,2.2
04-04-2021,358558,7428,12.78984571,8.913011922,0,0,42.77,101.925,99.35,841,39470,382,318932,18965,542.7189805,13080.61892,50453,2031735,57,6.8
05-04-2021,364537,7450,12.80638333,8.915969311,0.016537623,0.002957389,35.2,67.215,71.97,1090,36071,387,320409,19810,616.044395,13593.48059,70645,2102380,53,7.8
06-04-2021,367602,7458,12.81475611,8.917042561,0.008372776,0.001073249,41.99,87.325,89.405,1111,52532,396,322382,20155,573.7618978,14522.57679,89873,2192253,36,8
